car,move
B,-1
N,-1
L,-1
N,2
E,-1
E,2
N,-1
J,1
L,1
L,-2
L,2
N,1
M,-1
L,-1
J,-1
X,1
A,-1
A,-2
L,1
N,-2
O,1
B,-2
B,2
L,-1
V,-2
B,-2
A,-1
W,-1
B,1
N,2
T,1
O,-1
E,-1
V,1
G,1
C,1
B,-3
B,2
A,2
G,-1
J,1
G,-2
B,1
J,-1
Z,-1
L,1
W,-1
A,-1
B,1
A,1
B,-2
Q,2
W,-1
Z,1
B,3
A,-1
Z,-1
W,-1
W,4
B,-1
L,-1
E,1
Q,-1
O,-2
O,2
D,-1
G,1
E,-1
L,1
E,-1
W,-2
W,2
W,-2
Q,1
W,-1
Q,-2
H,-1
H,1
V,1
Z,1
W,2
Z,-1
L,-1
W,-2
D,1
V,-1
W,2
W,1
Q,1
V,-1
W,-3
A,3
S,1
A,-2
W,1
S,-1
B,-2
W,2
G,1
G,2
B,3
A,3
V,1
V,-1
O,-1
E,1
G,-3
A,-2
O,-1
E,1
V,1
A,-2
B,-2
L,1
V,1
L,-1
G,2
C,-1
Q,1
O,2
L,1
C,1
O,-2
R,-1
R,1
C,-1
A,2
V,-1
Q,-1
Q,1
N,-1
E,-1
Q,-1
N,2
U,1
L,-1
V,-1
A,-3
Z,1
U,-1
B,-3
E,1
B,1
B,-1
B,5
N,-2
N,-1
O,1
N,2
A,3
Q,1
B,-2
C,1
V,1
E,-2
A,-3
V,1
Q,-1
Z,-1
B,1
G,-1
B,-3
O,-1
B,-1
L,1
E,1
B,3
Q,1
G,1
R,-1
B,-1
A,2
E,1
L,-1
C,-1
A,-1
O,2
E,-2
C,1
R,1
E,1
Z,1
P,-1
E,-1
O,-2
B,1
D,-1
G,-3
B,2
G,1
B,-1
V,-2
H,-1
H,1
R,-1
A,-1
A,1
P,-2
G,2
P,2
G,-1
E,1
V,1
P,-2
P,2
N,1
A,1
E,1
P,1
R,1
V,-1
Z,-1
G,-2
B,1
G,2
B,-1
D,1
E,-1
A,2
B,1
E,1
B,-1
Z,1
B,1
O,1
J,1
A,1
E,-2
E,1
G,-2
X,-1
X,1
D,1
E,-1
G,2
R,-1
G,-1
S,1
U,1
C,1
W,-1
N,-1
G,2
O,1
E,2
A,-1
E,-1
S,-1
V,1
E,1
W,1
V,-1
G,-1
B,-1
W,-2
V,1
E,-2
A,-3
B,-1
A,2
A,-2
B,-1
W,1
A,1
W,1
W,-1
G,-1
W,-1
L,1
A,-2
B,2
A,2
O,-1
E,1
R,1
N,1
U,-1
B,1
C,1
R,-1
A,-2
A,1
W,1
C,-2
C,2
C,-2
G,-1
W,-3
N,1
O,-1
A,4
A,-4
O,1
O,-1
A,1
R,-1
D,-2
D,2
A,-1
B,-4
E,-1
E,1
U,1
E,1
R,1
B,1
C,2
C,1
A,1
B,2
B,-2
C,-3
N,-1
N,-1
N,1
C,2
A,-1
B,1
U,-1
U,1
B,2
B,-3
O,1
B,2
E,-1
W,2
A,2
C,-2
D,-1
A,-2
E,-1
W,-1
R,1
E,2
Q,-1
E,-1
N,-1
B,-3
J,-1
N,1
B,3
B,-2
P,-1
E,-1
W,3
B,-1
B,3
U,-1
A,3
G,3
P,1
L,-1
P,-1
E,2
G,-2
W,-3
N,-1
W,2
G,1
A,-1
N,1
C,-1
G,1
B,1
V,1
Q,1
E,-1
N,-2
A,-1
P,-1
P,1
W,1
A,1
E,1
B,-1
B,-1
N,2
G,-1
L,1
V,-1
B,2
G,2
N,-1
G,-1
A,2
D,-1
P,-1
C,1
U,1
H,-1
G,-2
E,-2
P,2
R,-1
U,-1
O,1
G,3
U,1
Z,-1
E,1
H,1
G,-1
H,-1
Z,1
O,-2
G,-1
O,1
W,-1
H,1
O,2
W,-1
J,-1
G,-2
G,1
U,-1
G,1
O,-1
O,-1
E,-1
Z,-2
G,-1
G,-1
E,1
O,1
W,2
O,-1
O,-1
T,1
O,2
O,-1
W,-4
R,-1
E,1
E,-2
V,1
N,2
R,1
V,-1
E,1
W,2
W,-2
W,2
E,-1
W,2
W,-1
N,-2
G,1
T,-1
W,-1
W,2
G,3
N,2
T,1
N,-2
N,2
G,-2
G,2
G,-4
W,-4
W,3
L,-1
U,1
N,-1
N,-1
E,2
N,1
U,-1
W,-1
E,-2
N,1
T,-1
W,-2
L,1
W,1
Z,1
G,1
W,2
G,2
G,-2
N,-1
E,1
G,1
E,-1
E,1
W,-1
Z,1
R,1
J,2
V,1
Q,-1
H,-2
J,-1
H,1
E,-1
E,2
W,1
E,-1
W,1
Q,1
G,2
C,-1
N,-1
P,-2
R,-1
G,-1
O,-1
O,1
N,-2
E,1
O,-1
P,1
G,-1
E,-1
X,-1
L,-1
I,-1
V,-2
V,1
P,1
X,1
E,1
N,3
G,1
E,-2
V,-1
N,-1
E,2
N,1
N,1
P,-1
C,1
E,-1
P,1
E,1
C,-1
N,-4
U,1
G,-1
O,3
N,2
W,-1
G,1
S,1
N,-2
V,-1
E,-1
E,1
S,-1
S,1
R,1
X,1
X,-1
Q,-1
S,-1
E,-2
V,1
N,1
W,1
N,-1
O,-3
V,-2
O,2
G,-1
V,2
O,-2
N,2
E,2
P,-3
J,1
S,1
K,-1
K,-1
X,-1
C,1
C,-1
Q,1
U,-1
E,-1
K,2
M,1
J,-1
K,-1
N,-2
Q,-1
E,1
P,1
Y,-1
Q,1
M,-1
P,-1
P,2
X,1
E,-2
O,2
X,1
R,-1
W,-1
X,-1
E,2
W,-1
R,1
E,-1
W,1
U,1
Y,1
V,-1
K,1
Q,-1
X,1
W,1
S,-1
P,1
P,-1
G,2
S,1
Q,1
V,1
V,-2
Q,-1
G,-1
Q,-3
Q,-1
P,1
Z,-1
Q,3
E,-1
Q,-1
N,1
V,1
R,-1
V,1
G,1
Z,1
V,-2
G,-2
Q,-2
T,-1
X,-2
N,-1
K,-1
O,-1
R,1
J,1
O,1
V,2
E,1
O,-1
V,-2
L,-1
N,3
M,1
H,-1
O,-1
M,1
R,-1
U,-1
Y,-1
C,1
Y,1
Y,-1
T,1
N,1
G,-1
L,-1
V,1
E,1
L,2
I,-1
E,-1
Y,1
L,-2
V,-1
I,1
L,-1
V,1
H,1
E,1
T,-1
Y,-1
N,1
E,-1
H,-2
U,1
H,2
N,1
V,-1
E,-1
N,-2
E,1
G,-1
E,-1
F,-1
Y,1
E,1
L,2
P,1
G,2
V,2
N,2
U,-1
M,-1
N,-4
K,-2
M,-1
M,1
O,1
Y,-1
N,3
N,1
C,-1
N,-1
N,1
M,-1
N,-4
E,1
K,1
U,1
R,1
V,-1
N,1
K,1
P,-1
X,1
R,-1
C,1
N,-1
T,1
G,-2
T,-1
Y,1
G,2
Y,-1
T,1
F,1
O,-1
G,1
N,2
H,-1
H,1
G,-1
F,-1
C,-1
O,1
W,-2
N,-2
N,-2
N,1
E,-2
P,2
N,2
Y,1
K,-2
T,-2
K,3
S,-1
H,-1
R,1
S,1
K,-2
E,2
T,2
E,-2
V,-1
K,-1
T,-1
R,-1
K,2
E,1
I,-1
N,2
N,1
X,1
C,1
K,-2
V,1
E,-1
U,-1
E,2
U,1
G,-2
W,1
K,2
U,-1
N,-1
Y,-1
Y,1
K,1
W,1
W,-3
E,-1
L,-1
W,1
K,-1
G,1
K,-2
X,-1
E,-1
N,-1
L,1
F,-2
N,2
L,-1
G,1
T,-1
K,1
K,1
L,2
U,1
J,-1
N,-3
P,-1
N,1
G,-1
N,2
Z,-1
Y,-1
U,-1
Y,1
X,1
P,-1
N,-1
Z,1
J,1
V,-1
L,-2
K,1
L,1
G,-1
K,-1
Q,1
F,2
G,1
I,1
V,2
I,1
Q,-1
X,-1
U,1
Y,-1
N,-1
W,-1
H,2
E,1
G,-1
W,1
L,-1
T,1
U,-1
G,2
U,1
P,1
U,-1
W,2
G,2
T,1
G,-4
U,1
W,-3
T,-1
H,-1
K,-1
L,1
U,-1
N,-2
R,-1
N,1
H,1
D,1
A,-1
T,1
A,-3
U,1
U,-1
K,1
A,2
K,-1
T,-1
T,1
U,-1
N,1
E,1
U,1
K,1
U,1
K,-2
K,2
A,-2
T,-1
A,4
A,-3
R,1
R,-1
N,-1
Y,1
K,-2
K,1
R,2
W,3
A,-1
B,-2
K,2
W,-2
U,-1
K,-3
U,1
K,2
B,1
W,1
D,-1
K,-1
N,-1
Y,-1
G,2
N,1
B,1
U,-2
R,-1
X,-1
N,3
A,1
O,1
W,1
K,-1
B,-2
Y,1
X,2
X,-2
O,-1
M,1
L,-1
U,1
N,-2
H,-1
N,2
L,1
U,-1
O,-1
Y,-1
K,1
C,-1
N,-3
Y,1
E,-2
K,-1
E,1
O,1
I,-1
Y,-1
O,-1
M,1
S,-1
V,3
M,-2
P,1
B,1
M,1
H,-1
H,-1
N,3
P,-1
I,1
H,3
P,1
O,2
H,-3
W,-1
E,-1
E,1
U,1
D,1
W,1
A,1
A,-3
U,-1
B,-2
L,-1
A,2
U,1
A,-1
C,1
L,1
B,1
U,-1
G,-1
B,-2
B,2
B,-2
G,1
E,-1
C,-1
W,-1
O,-1
I,-1
P,-1
A,-1
V,-1
V,-1
I,-1
C,1
B,1
U,1
V,-4
P,1
F,-2
N,-2
S,1
B,-2
V,1
P,-1
B,5
K,1
L,-1
N,1
Y,1
N,1
B,-4
U,1
P,1
B,3
B,-1
F,-1
F,3
B,-2
V,1
B,4
U,-1
A,1
O,1
Y,-1
B,-2
A,2
C,-1
U,1
B,1
B,-1
F,-3
L,2
D,1
C,2
V,-1
I,1
A,-3
C,-2
W,1
B,-2
K,1
I,-1
B,-1
K,-2
O,-2
B,1
S,-1
U,-2
A,1
V,-1
O,2
B,1
E,-2
O,-1
B,1
B,-1
Y,1
S,1
F,1
O,1
P,-1
W,-1
U,2
K,2
F,-1
L,1
L,-1
V,3
V,-3
B,1
L,1
U,-1
I,1
A,1
K,-3
